2017-09-06T22:16:57.415Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2730,{"ONSince":"1504735761","OnFor":"455","TodayONTime":"30861","TodayConsumed":"106119565"}
2017-09-06T22:16:58.893Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2750,{"ONSince":"1504735761","OnFor":"456","TodayONTime":"30862","TodayConsumed":"106119565"}
2017-09-06T22:16:58.905Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504732194","OnFor":"12","TodayONTime":"418","TodayConsumed":"1838068"}
2017-09-06T22:16:59.610Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4045,{"ONSince":"1504736211","OnFor":"33","TodayONTime":"5586","TodayConsumed":"26118108"}
2017-09-06T22:17:00.627Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504732194","OnFor":"12","TodayONTime":"418","TodayConsumed":"1838068"}
2017-09-06T22:17:00.633Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504735630","OnFor":"102","TodayONTime":"2024","TodayConsumed":"23215815"}
2017-09-06T22:17:01.138Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504735630","OnFor":"102","TodayONTime":"2024","TodayConsumed":"23215815"}
2017-09-06T22:17:01.141Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4050,{"ONSince":"1504736211","OnFor":"33","TodayONTime":"5586","TodayConsumed":"26118108"}
2017-09-06T22:17:01.360Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2710,{"ONSince":"1504735761","OnFor":"459","TodayONTime":"30865","TodayConsumed":"106119565"}
2017-09-06T22:17:02.872Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2720,{"ONSince":"1504735761","OnFor":"460","TodayONTime":"30866","TodayConsumed":"106119565"}
2017-09-06T22:17:02.930Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504732194","OnFor":"12","TodayONTime":"418","TodayConsumed":"1838068"}
2017-09-06T22:17:03.632Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504735630","OnFor":"102","TodayONTime":"2024","TodayConsumed":"23215815"}
2017-09-06T22:17:03.649Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4040,{"ONSince":"1504736211","OnFor":"33","TodayONTime":"5586","TodayConsumed":"26118108"}
2017-09-06T22:17:04.447Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504732194","OnFor":"12","TodayONTime":"418","TodayConsumed":"1838068"}
2017-09-06T22:17:05.055Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504735630","OnFor":"102","TodayONTime":"2024","TodayConsumed":"23215815"}
2017-09-06T22:17:05.084Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4040,{"ONSince":"1504736211","OnFor":"33","TodayONTime":"5586","TodayConsumed":"26118108"}
2017-09-06T22:17:05.469Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2745,{"ONSince":"1504735761","OnFor":"463","TodayONTime":"30869","TodayConsumed":"106119565"}
2017-09-06T22:17:06.925Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2730,{"ONSince":"1504735761","OnFor":"464","TodayONTime":"30870","TodayConsumed":"106119565"}
2017-09-06T22:17:06.989Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504732194","OnFor":"12","TodayONTime":"418","TodayConsumed":"1838068"}
2017-09-06T22:17:07.633Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504735630","OnFor":"102","TodayONTime":"2024","TodayConsumed":"23215815"}
2017-09-06T22:17:07.637Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4045,{"ONSince":"1504736211","OnFor":"33","TodayONTime":"5586","TodayConsumed":"26118108"}
2017-09-06T22:17:08.461Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504732194","OnFor":"12","TodayONTime":"418","TodayConsumed":"1838068"}
2017-09-06T22:17:09.152Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504735630","OnFor":"102","TodayONTime":"2024","TodayConsumed":"23215815"}
2017-09-06T22:17:09.154Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4035,{"ONSince":"1504736211","OnFor":"33","TodayONTime":"5586","TodayConsumed":"26118108"}
2017-09-06T22:17:09.407Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2710,{"ONSince":"1504735761","OnFor":"467","TodayONTime":"30873","TodayConsumed":"106119565"}
2017-09-06T22:17:11.002Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,1,2740,{"ONSince":"1504735761","OnFor":"468","TodayONTime":"30874","TodayConsumed":"106119565"}
2017-09-06T22:17:11.650Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504735630","OnFor":"102","TodayONTime":"2024","TodayConsumed":"23215815"}
2017-09-06T22:17:11.665Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,8,4015,{"ONSince":"1504736211","OnFor":"33","TodayONTime":"5586","TodayConsumed":"26118108"}
2017-09-06T22:17:12.020Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504732194","OnFor":"12","TodayONTime":"418","TodayConsumed":"1838068"}
