2017-10-26T17:03:35.918Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2670,{"ONSince":"1508967272","OnFor":"70205","TodayONTime":"36277","TodayConsumed":"58553812"}
2017-10-26T17:03:35.939Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,3995,{"ONSince":"1509037192","OnFor":"89","TodayONTime":"2947","TodayConsumed":"17631995"}
2017-10-26T17:03:36.935Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1508965378","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-10-26T17:03:37.113Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1509036367","OnFor":"163","TodayONTime":"1690","TodayConsumed":"19572451"}
2017-10-26T17:03:38.513Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2665,{"ONSince":"1508967272","OnFor":"70208","TodayONTime":"36280","TodayConsumed":"58553812"}
2017-10-26T17:03:38.514Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1508965378","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-10-26T17:03:38.516Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1509036367","OnFor":"163","TodayONTime":"1690","TodayConsumed":"19572451"}
2017-10-26T17:03:38.522Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4020,{"ONSince":"1509037192","OnFor":"89","TodayONTime":"2947","TodayConsumed":"17631995"}
2017-10-26T17:03:40.272Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2675,{"ONSince":"1508967272","OnFor":"70209","TodayONTime":"36281","TodayConsumed":"58553812"}
2017-10-26T17:03:40.281Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4030,{"ONSince":"1509037192","OnFor":"89","TodayONTime":"2947","TodayConsumed":"17631995"}
2017-10-26T17:03:41.369Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1508965378","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-10-26T17:03:41.370Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1509036367","OnFor":"163","TodayONTime":"1690","TodayConsumed":"19572451"}
2017-10-26T17:03:42.446Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2715,{"ONSince":"1508967272","OnFor":"70212","TodayONTime":"36284","TodayConsumed":"58553812"}
2017-10-26T17:03:42.476Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1508965378","OnFor":"14","TodayONTime":"0","TodayConsumed":"0"}
2017-10-26T17:03:42.485Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4020,{"ONSince":"1509037192","OnFor":"89","TodayONTime":"2947","TodayConsumed":"17631995"}
2017-10-26T17:03:42.516Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1509036367","OnFor":"163","TodayONTime":"1690","TodayConsumed":"19572451"}
2017-10-26T17:03:44.647Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4030,{"ONSince":"1509037192","OnFor":"89","TodayONTime":"2947","TodayConsumed":"17631995"}
