2017-11-03T22:32:44.843Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,1721615,{"ONSince":"1509574912","OnFor":"173552","TodayONTime":"56064","TodayConsumed":"93329020"}
2017-11-03T22:32:45.593Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,1,56315,{"ONSince":"1509748278","OnFor":"87","TodayONTime":"6293","TodayConsumed":"26632670"}
2017-11-03T22:32:45.594Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1509742163","OnFor":"21","TodayONTime":"195","TodayConsumed":"1147964"}
2017-11-03T22:32:46.771Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1509748468","OnFor":"130","TodayONTime":"3201","TodayConsumed":"37429722"}
2017-11-03T22:32:46.846Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,1,36490,{"ONSince":"1509748278","OnFor":"88","TodayONTime":"6294","TodayConsumed":"26632670"}
2017-11-03T22:32:46.930Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,1727200,{"ONSince":"1509574912","OnFor":"173555","TodayONTime":"56067","TodayConsumed":"93329020"}
2017-11-03T22:32:47.002Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1509742163","OnFor":"21","TodayONTime":"195","TodayConsumed":"1147964"}
2017-11-03T22:32:48.378Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,1727495,{"ONSince":"1509574912","OnFor":"173556","TodayONTime":"56068","TodayConsumed":"93329020"}
2017-11-03T22:32:48.525Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1509748468","OnFor":"130","TodayONTime":"3201","TodayConsumed":"37429722"}
2017-11-03T22:32:49.886Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,1,11735,{"ONSince":"1509748278","OnFor":"91","TodayONTime":"6297","TodayConsumed":"26632670"}
2017-11-03T22:32:49.910Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1509742163","OnFor":"21","TodayONTime":"195","TodayConsumed":"1147964"}
2017-11-03T22:32:50.032Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1509748468","OnFor":"130","TodayONTime":"3201","TodayConsumed":"37429722"}
2017-11-03T22:32:50.879Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,1728210,{"ONSince":"1509574912","OnFor":"173559","TodayONTime":"56071","TodayConsumed":"93329020"}
2017-11-03T22:32:50.880Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,1,8815,{"ONSince":"1509748278","OnFor":"92","TodayONTime":"6298","TodayConsumed":"26632670"}
2017-11-03T22:32:51.029Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1509742163","OnFor":"21","TodayONTime":"195","TodayConsumed":"1147964"}
2017-11-03T22:32:52.780Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,1728175,{"ONSince":"1509574912","OnFor":"173560","TodayONTime":"56072","TodayConsumed":"93329020"}
2017-11-03T22:32:52.783Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1509748468","OnFor":"130","TodayONTime":"3201","TodayConsumed":"37429722"}
2017-11-03T22:32:53.420Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,5110,{"ONSince":"1509748278","OnFor":"95","TodayONTime":"6301","TodayConsumed":"26632670"}
2017-11-03T22:32:53.538Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1509742163","OnFor":"21","TodayONTime":"195","TodayConsumed":"1147964"}
2017-11-03T22:32:55.746Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,1728820,{"ONSince":"1509574912","OnFor":"173563","TodayONTime":"56075","TodayConsumed":"93329020"}
2017-11-03T22:32:55.750Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1509748468","OnFor":"130","TodayONTime":"3201","TodayConsumed":"37429722"}
2017-11-03T22:32:55.753Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1509742163","OnFor":"21","TodayONTime":"195","TodayConsumed":"1147964"}
2017-11-03T22:32:55.754Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4410,{"ONSince":"1509748373","OnFor":"95","TodayONTime":"6301","TodayConsumed":"26632670"}
2017-11-03T22:32:56.416Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,1729615,{"ONSince":"1509574912","OnFor":"173564","TodayONTime":"56076","TodayConsumed":"93329020"}
2017-11-03T22:32:56.577Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1509748468","OnFor":"130","TodayONTime":"3201","TodayConsumed":"37429722"}
