2017-09-14T19:00:00.096Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2740,{"ONSince":"1505332673","OnFor":"82925","TodayONTime":"43198","TodayConsumed":"73291906"}
2017-09-14T19:00:01.569Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1505415133","OnFor":"101","TodayONTime":"1697","TodayConsumed":"19818214"}
2017-09-14T19:00:01.579Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4040,{"ONSince":"1505415529","OnFor":"34","TodayONTime":"3874","TodayConsumed":"16633281"}
2017-09-14T19:00:01.590Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1505407164","OnFor":"20","TodayONTime":"240","TodayConsumed":"1469694"}
2017-09-14T19:00:02.270Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1505407164","OnFor":"20","TodayONTime":"240","TodayConsumed":"1469694"}
2017-09-14T19:00:02.951Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2725,{"ONSince":"1505332673","OnFor":"82928","TodayONTime":"43201","TodayConsumed":"73291906"}
2017-09-14T19:00:02.952Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1505415133","OnFor":"101","TodayONTime":"1697","TodayConsumed":"19818214"}
2017-09-14T19:00:03.317Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4065,{"ONSince":"1505415529","OnFor":"34","TodayONTime":"3874","TodayConsumed":"16633281"}
2017-09-14T19:00:04.245Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2720,{"ONSince":"1505332673","OnFor":"82929","TodayONTime":"43202","TodayConsumed":"73291906"}
2017-09-14T19:00:04.781Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1505407164","OnFor":"20","TodayONTime":"240","TodayConsumed":"1469694"}
2017-09-14T19:00:05.749Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1505415133","OnFor":"101","TodayONTime":"1697","TodayConsumed":"19818214"}
2017-09-14T19:00:05.807Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4010,{"ONSince":"1505415529","OnFor":"34","TodayONTime":"3874","TodayConsumed":"16637324"}
2017-09-14T19:00:06.589Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1505407164","OnFor":"20","TodayONTime":"240","TodayConsumed":"1469694"}
2017-09-14T19:00:06.599Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2720,{"ONSince":"1505332673","OnFor":"82932","TodayONTime":"43205","TodayConsumed":"73291906"}
2017-09-14T19:00:06.746Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1505415133","OnFor":"101","TodayONTime":"1697","TodayConsumed":"19818214"}
2017-09-14T19:00:07.391Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,3995,{"ONSince":"1505415529","OnFor":"34","TodayONTime":"3874","TodayConsumed":"16637324"}
2017-09-14T19:00:08.930Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2720,{"ONSince":"1505332673","OnFor":"82933","TodayONTime":"43206","TodayConsumed":"73291906"}
2017-09-14T19:00:08.941Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1505407164","OnFor":"20","TodayONTime":"240","TodayConsumed":"1469694"}
2017-09-14T19:00:09.278Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1505415133","OnFor":"101","TodayONTime":"1697","TodayConsumed":"19818214"}
2017-09-14T19:00:11.323Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1505415133","OnFor":"101","TodayONTime":"1697","TodayConsumed":"19818214"}
2017-09-14T19:00:11.325Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1505407164","OnFor":"20","TodayONTime":"240","TodayConsumed":"1469694"}
2017-09-14T19:00:11.334Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4035,{"ONSince":"1505415529","OnFor":"34","TodayONTime":"3874","TodayConsumed":"16637324"}
2017-09-14T19:00:11.344Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2720,{"ONSince":"1505332673","OnFor":"82936","TodayONTime":"43209","TodayConsumed":"73291906"}
2017-09-14T19:00:11.351Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4045,{"ONSince":"1505415529","OnFor":"34","TodayONTime":"3874","TodayConsumed":"16637324"}
2017-09-14T19:00:12.277Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2715,{"ONSince":"1505332673","OnFor":"82937","TodayONTime":"43210","TodayConsumed":"73291906"}
2017-09-14T19:00:12.836Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4045,{"ONSince":"1505415529","OnFor":"34","TodayONTime":"3874","TodayConsumed":"16637324"}
2017-09-14T19:00:12.837Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1505407164","OnFor":"20","TodayONTime":"240","TodayConsumed":"1469694"}
2017-09-14T19:00:14.220Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1505415133","OnFor":"101","TodayONTime":"1697","TodayConsumed":"19818214"}
2017-09-14T19:00:14.325Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1505407164","OnFor":"20","TodayONTime":"240","TodayConsumed":"1469694"}
2017-09-14T19:00:14.963Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1505415133","OnFor":"101","TodayONTime":"1697","TodayConsumed":"19818214"}
2017-09-14T19:00:14.964Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2735,{"ONSince":"1505332673","OnFor":"82940","TodayONTime":"43213","TodayConsumed":"73291906"}
2017-09-14T19:00:15.754Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4030,{"ONSince":"1505415529","OnFor":"34","TodayONTime":"3874","TodayConsumed":"16637324"}
2017-09-14T19:00:16.138Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2730,{"ONSince":"1505332673","OnFor":"82941","TodayONTime":"43214","TodayConsumed":"73291906"}
2017-09-14T19:00:17.282Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1505407164","OnFor":"20","TodayONTime":"240","TodayConsumed":"1469694"}
2017-09-14T19:00:17.283Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4030,{"ONSince":"1505415529","OnFor":"34","TodayONTime":"3874","TodayConsumed":"16637324"}
2017-09-14T19:00:17.303Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1505415133","OnFor":"101","TodayONTime":"1697","TodayConsumed":"19818214"}
2017-09-14T19:00:19.292Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1505407164","OnFor":"20","TodayONTime":"240","TodayConsumed":"1469694"}
2017-09-14T19:00:19.302Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1505415133","OnFor":"101","TodayONTime":"1697","TodayConsumed":"19818214"}
2017-09-14T19:00:19.303Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2755,{"ONSince":"1505332673","OnFor":"82944","TodayONTime":"43217","TodayConsumed":"73291906"}
2017-09-14T19:00:19.387Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4040,{"ONSince":"1505415529","OnFor":"34","TodayONTime":"3874","TodayConsumed":"16637324"}
2017-09-14T19:00:21.370Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2750,{"ONSince":"1505332673","OnFor":"82945","TodayONTime":"43218","TodayConsumed":"73291906"}
2017-09-14T19:00:21.371Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1505407164","OnFor":"20","TodayONTime":"240","TodayConsumed":"1469694"}
2017-09-14T19:00:21.372Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1505415133","OnFor":"101","TodayONTime":"1697","TodayConsumed":"19818214"}
2017-09-14T19:00:21.391Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4030,{"ONSince":"1505415529","OnFor":"34","TodayONTime":"3874","TodayConsumed":"16637324"}
2017-09-14T19:00:22.363Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1505407164","OnFor":"20","TodayONTime":"240","TodayConsumed":"1469694"}
2017-09-14T19:00:22.679Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2740,{"ONSince":"1505332673","OnFor":"82948","TodayONTime":"43221","TodayConsumed":"73294640"}
2017-09-14T19:00:22.900Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1505415133","OnFor":"101","TodayONTime":"1697","TodayConsumed":"19818214"}
2017-09-14T19:00:24.320Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4030,{"ONSince":"1505415529","OnFor":"34","TodayONTime":"3874","TodayConsumed":"16637324"}
2017-09-14T19:00:24.340Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2735,{"ONSince":"1505332673","OnFor":"82949","TodayONTime":"43222","TodayConsumed":"73294640"}
