2017-09-05T21:38:46.158Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,1,231750,{"ONSince":"1504647509","OnFor":"16","TodayONTime":"5737","TodayConsumed":"25120374"}
2017-09-05T21:38:46.377Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504647186","OnFor":"19","TodayONTime":"430","TodayConsumed":"2034672"}
2017-09-05T21:38:47.515Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504647022","OnFor":"386","TodayONTime":"2310","TodayConsumed":"26471609"}
2017-09-05T21:38:47.527Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,8,1670,{"ONSince":"1504646670","OnFor":"5061","TodayONTime":"48168","TodayConsumed":"79325080"}
2017-09-05T21:38:47.664Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,1,145495,{"ONSince":"1504647509","OnFor":"17","TodayONTime":"5738","TodayConsumed":"25120374"}
2017-09-05T21:38:47.892Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504647186","OnFor":"19","TodayONTime":"430","TodayConsumed":"2034672"}
2017-09-05T21:38:49.478Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504647022","OnFor":"386","TodayONTime":"2310","TodayConsumed":"26471609"}
2017-09-05T21:38:49.480Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,8,1675,{"ONSince":"1504646670","OnFor":"5061","TodayONTime":"48168","TodayConsumed":"79325080"}
2017-09-05T21:38:50.493Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,1,144260,{"ONSince":"1504647509","OnFor":"20","TodayONTime":"5741","TodayConsumed":"25120374"}
2017-09-05T21:38:50.523Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504647186","OnFor":"19","TodayONTime":"430","TodayConsumed":"2034672"}
2017-09-05T21:38:51.496Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504647022","OnFor":"386","TodayONTime":"2310","TodayConsumed":"26471609"}
2017-09-05T21:38:51.502Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,8,1670,{"ONSince":"1504646670","OnFor":"5061","TodayONTime":"48168","TodayConsumed":"79325080"}
2017-09-05T21:38:51.693Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,1,91125,{"ONSince":"1504647509","OnFor":"21","TodayONTime":"5742","TodayConsumed":"25120374"}
2017-09-05T21:38:51.904Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504647186","OnFor":"19","TodayONTime":"430","TodayConsumed":"2034672"}
2017-09-05T21:38:53.519Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504647022","OnFor":"386","TodayONTime":"2310","TodayConsumed":"26471609"}
2017-09-05T21:38:53.526Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504647186","OnFor":"19","TodayONTime":"430","TodayConsumed":"2034672"}
2017-09-05T21:38:53.530Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,8,1660,{"ONSince":"1504646670","OnFor":"5061","TodayONTime":"48168","TodayConsumed":"79325080"}
2017-09-05T21:38:54.481Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,1,90635,{"ONSince":"1504647509","OnFor":"24","TodayONTime":"5745","TodayConsumed":"25120374"}
2017-09-05T21:38:55.334Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,8,1650,{"ONSince":"1504646670","OnFor":"5061","TodayONTime":"48168","TodayConsumed":"79325080"}
2017-09-05T21:38:55.345Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504647186","OnFor":"19","TodayONTime":"430","TodayConsumed":"2034672"}
2017-09-05T21:38:55.493Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504647022","OnFor":"386","TodayONTime":"2310","TodayConsumed":"26471609"}
2017-09-05T21:38:55.702Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,1,221300,{"ONSince":"1504647509","OnFor":"25","TodayONTime":"5746","TodayConsumed":"25120374"}
2017-09-05T21:38:57.011Z uuid:Insight-1_0-231619K1200D9A,WeMo 4,8,1650,{"ONSince":"1504646670","OnFor":"5061","TodayONTime":"48168","TodayConsumed":"79325080"}
2017-09-05T21:38:57.019Z uuid:Insight-1_0-231619K1200D5B,WeMo 1,8,0,{"ONSince":"1504647022","OnFor":"386","TodayONTime":"2310","TodayConsumed":"26471609"}
2017-09-05T21:38:57.429Z uuid:Insight-1_0-231619K1200E30,WeMo 2,8,0,{"ONSince":"1504647186","OnFor":"19","TodayONTime":"430","TodayConsumed":"2034672"}
2017-09-05T21:38:58.770Z uuid:Insight-1_0-231619K1200D9F,WeMo 3,1,221365,{"ONSince":"1504647509","OnFor":"28","TodayONTime":"5749","TodayConsumed":"25120374"}
