2017-09-14T18:50:26.266Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2735,{"ONSince":"1505332673","OnFor":"82351","TodayONTime":"42624","TodayConsumed":"73267243"}
2017-09-14T18:50:26.393Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1505407164","OnFor":"20","TodayONTime":"240","TodayConsumed":"1469694"}
2017-09-14T18:50:27.279Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4040,{"ONSince":"1505414838","OnFor":"46","TodayONTime":"3763","TodayConsumed":"16393084"}
2017-09-14T18:50:27.817Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,0,{"ONSince":"1505412047","OnFor":"172","TodayONTime":"1596","TodayConsumed":"18672262"}
2017-09-14T18:50:27.818Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2745,{"ONSince":"1505332673","OnFor":"82352","TodayONTime":"42625","TodayConsumed":"73267243"}
2017-09-14T18:50:28.675Z uuid:Insight-1_0-231619K1200D9F,Mars WeMo 3,8,4035,{"ONSince":"1505414838","OnFor":"46","TodayONTime":"3763","TodayConsumed":"16393084"}
2017-09-14T18:50:28.915Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1505407164","OnFor":"20","TodayONTime":"240","TodayConsumed":"1469694"}
2017-09-14T18:50:29.332Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2745,{"ONSince":"1505332673","OnFor":"82355","TodayONTime":"42628","TodayConsumed":"73267243"}
2017-09-14T18:50:29.342Z uuid:Insight-1_0-231619K1200D5B, HotWater WeMo 1,8,94230,{"ONSince":"1505412047","OnFor":"172","TodayONTime":"1596","TodayConsumed":"18672262"}
2017-09-14T18:50:30.421Z uuid:Insight-1_0-231619K1200E30,Nespresso WeMo 2,8,0,{"ONSince":"1505407164","OnFor":"20","TodayONTime":"240","TodayConsumed":"1469694"}
2017-09-14T18:50:30.792Z uuid:Insight-1_0-231619K1200D9A,Urn WeMo 4,1,2740,{"ONSince":"1505332673","OnFor":"82356","TodayONTime":"42629","TodayConsumed":"73267243"}
